????(??),????(??)
???? ??? ?????,???? ?? ???? ??? ????? ?????? ?? ??????
????? ??? ???,????? ? ??? ???? ? ?? ?????
????? ???? ???? ?????,??? ??? ?? ????? ????
???? ???? ????? ?????,??? ? ??? ?? ???? ?? ????
,
???? ????? ? ????,?? ?? ???? ? ??? ?? ?? ?? ? ??? ? ??? ????
???,? ??????
??. ?? ??? ??? ?????,"????, ??? ??? ?? ? ?? ???? ??? ???"
?? ? ? ??????,?? ? ? ??????
"?? ??? ??? ?,?? ??? ??? ????? ??????",?? ?? ? ??? ?? ????? ?? ???? ????? ???
,
??? ?? ????????.,?? ???? ?? ??? ?? ??? ??????
,
,
,
????? ?? ????,?? ??? ?? ???? ?? ?? ??? ?? ?? ?????
?? ?????? ?? ??? ??? ????,?? ???? ?? ?? ??? ??? ??? ?? ????
????? ???? ????,??? ?? ?? ?? ??? ????? ?????? ?? ? ????
,
?? ????? ??? ??? ????,?? ???? ??? ? ??? ?? ??? ? ??? ??????
,
???? ???? ???? ?????,???? ?? ?? ??? ?? ??? ???? ?? ? ??? ???????
,
,
,
,
,
???? ???? ? ?????,?? ?? ? ??? ???? ?????? ? ?? ????
????? ??? ?? ?????????,????? ??? ?? ????? ?? ???
????? ??? ????,?? ??? ????
,
???? ?????? ???? ?????,???? ?? ??? ??? ??
,
,
,
,
,
??? ????,?? ?? ? ??
,
??? ?????,"? ??, ??? ??? ????"
??? ??? ???,?? ??? ??? ??? ??? ???? ?? ? ?????
???? ??? ???? ????,"???? ?? ?? ?, ??? ?? ?? ???"
?? ??? ??????,"??? ? ?? ?? ???, ??? ????? ????"
KTX? ?? ????,"? KTX? ???, ? ?? ??? ?? ???"
???? ???? ?? ????,????? ?? ? ??????
???? ?? ??????,???? ?? ? ??
??? ?????,?? ????
?? ?? ? ???? ????,?? ? ???? ???????
??? 5??? ?? ??? ????,5??? ??? ???? ?? ???? ?????
,
??? ??????,?? ??? ? ???? ?? ??? ??? ????
?????? ?????? ??? ?? ????.,?????? ???? ?? ? ?? ?? ? ??? ??? ?????
,
,
???? ?? ????,? ? ??? ????
?? ????? ?? ?????,?? ?? ? ???
??????? ??????,?? ???? ??? ?? ? ????
????? ??????,?? ?? ??? ????? ?? ?????
,
????? ????,?? ??? ??? ??? ?? ????
,
,
???? ????? ??? ?? ??? ????,"???? ??? ?? ?, ? ?? ? ?? ?? ?? ?? ???? ????"
,
,
?? ??????,?????
,
??? ??????,??? ????? ??? ??? ????
?? ???? ??? ?? ? ???? ????,?? ?? ? ?? ?? ? ???
?? ? ???? ??????,???? ????
,
?? ???? ??????,???? ? ???? ? ?? ????
,
??? 2???? ????,?? ?? ???? 2??? ?? ??? ??? ?? ? ???
???? ??? 2???? ???????,?? ????? ?? ??? ???? 2???? ?? ????
?????? ????,?????? ?????
???? ???? ? 2??? ????,"? ? ?? ???? 2???? ?? ???, ?? ?? ?????"
?? ??? ????,??? ? ????
????? ????? 2???? ????,??? 2??? ???
?? ????? ??????? 2???? ??? ?????,"????? ?? ?? ?? ? 2? ?? ?, ??? ?? ?? ??? ???"
,
,
,
?? ???? ??? ????.,??? ??? ??
,
,
,
,
????,????
